loop,Buy & Hold,MACD-based Trading,Multi-CNN-LSTM,RSI-based Trading,Single-CNN-LSTM
1,0.00% / 0.00,0.00% / 0.00,5.79% / 13.86,0.00% / 0.00,3.69% / 10.13
2,0.00% / 0.00,0.00% / 0.00,-3.07% / -6.97,0.00% / 0.00,1.85% / 4.70
3,0.00% / 0.00,0.00% / 0.00,5.56% / 27.58,0.00% / 0.00,1.92% / 15.34
4,0.00% / 0.00,0.00% / 0.00,-1.36% / -3.96,0.00% / 0.00,-0.21% / -0.74
5,0.00% / 0.00,0.00% / 0.00,0.11% / 0.95,0.00% / 0.00,0.45% / 3.65
6,0.00% / 0.00,0.00% / 0.00,2.26% / 8.00,0.00% / 0.00,0.22% / 1.00
7,0.00% / 0.00,0.00% / 0.00,-1.59% / -4.96,0.00% / 0.00,0.41% / 1.94
8,0.00% / 0.00,0.00% / 0.00,-1.87% / -8.15,0.00% / 0.00,2.08% / 25.29
9,0.00% / 0.00,0.00% / 0.00,1.09% / 16.08,0.00% / 0.00,-1.33% / -7.87
10,0.00% / 0.00,0.00% / 0.00,1.54% / 13.13,0.00% / 0.00,0.98% / 10.27
11,0.00% / 0.00,0.00% / 0.00,0.54% / 2.61,0.00% / 0.00,2.39% / 19.26
12,0.00% / 0.00,0.00% / 0.00,-4.72% / -18.59,0.00% / 0.00,-1.88% / -8.70
