loop,Buy & Hold,MACD-based Trading,Multi-CNN-LSTM,RSI-based Trading,Single-CNN-LSTM
1,0.00% / 0.00,0.00% / 0.00,2.38% / 2.32,0.00% / 0.00,9.37% / 8.48
2,0.00% / 0.00,0.00% / 0.00,-2.89% / -5.50,0.00% / 0.00,0.98% / 6.11
3,0.00% / 0.00,0.00% / 0.00,8.06% / 27.18,0.00% / 0.00,4.31% / 22.72
4,0.00% / 0.00,0.00% / 0.00,-1.92% / -3.56,0.00% / 0.00,0.09% / 0.44
5,0.00% / 0.00,0.00% / 0.00,4.37% / 21.96,0.00% / 0.00,2.96% / 23.07
6,0.00% / 0.00,0.00% / 0.00,4.98% / 12.85,0.00% / 0.00,7.07% / 22.89
7,0.00% / 0.00,0.00% / 0.00,0.07% / 0.39,0.00% / 0.00,4.00% / 19.25
8,0.00% / 0.00,0.00% / 0.00,-0.74% / -1.73,0.00% / 0.00,-0.21% / -0.60
9,0.00% / 0.00,0.00% / 0.00,-0.65% / -2.73,0.00% / 0.00,0.37% / 3.32
10,0.00% / 0.00,0.00% / 0.00,-0.37% / -2.36,0.00% / 0.00,2.30% / 19.13
11,0.00% / 0.00,0.00% / 0.00,2.81% / 19.35,0.00% / 0.00,7.61% / 14.31
12,0.00% / 0.00,0.00% / 0.00,-0.58% / -2.76,0.00% / 0.00,-0.17% / -0.45
