loop,Buy & Hold,MACD-based Trading,Multi-CNN-LSTM,RSI-based Trading,Single-CNN-LSTM
1,0.00% / 0.00,0.00% / 0.00,2.88% / 10.13,0.00% / 0.00,-0.30% / -2.33
2,0.00% / 0.00,0.00% / 0.00,-4.35% / -9.00,0.00% / 0.00,-2.15% / -12.50
3,0.00% / 0.00,0.00% / 0.00,-2.88% / -11.87,0.00% / 0.00,-3.41% / -11.90
4,0.00% / 0.00,0.00% / 0.00,-7.38% / -23.22,0.00% / 0.00,-6.78% / -20.86
5,0.00% / 0.00,0.00% / 0.00,0.29% / 2.08,0.00% / 0.00,0.48% / 3.78
6,0.00% / 0.00,0.00% / 0.00,0.68% / 5.55,0.00% / 0.00,-1.54% / -8.38
7,0.00% / 0.00,0.00% / 0.00,-4.37% / -14.84,0.00% / 0.00,-2.58% / -10.38
8,0.00% / 0.00,0.00% / 0.00,1.25% / 4.29,0.00% / 0.00,0.68% / 3.88
9,0.00% / 0.00,0.00% / 0.00,-1.71% / -8.15,0.00% / 0.00,-3.00% / -16.63
10,0.00% / 0.00,0.00% / 0.00,0.98% / 7.26,0.00% / 0.00,-0.12% / -0.37
11,0.00% / 0.00,0.00% / 0.00,0.77% / 6.50,0.00% / 0.00,0.03% / 0.37
12,0.00% / 0.00,0.00% / 0.00,-10.06% / -25.39,0.00% / 0.00,-7.48% / -22.00
