Loop,"Multi-CNN-LSTM
Return / Sharpe","Single-CNN-LSTM
Return / Sharpe","Buy & Hold
Return / Sharpe","RSI Based
Return / Sharpe","MACD Based
Return / Sharpe"
Loop1 (Jan),-0.60% / -1.90,0.92% / 4.83,3.00% / 1.91,-2.33% / -4.12,7.02% / 6.10
Loop2 (Feb),0.24% / 1.42,0.53% / 3.13,0.39% / 0.43,0.07% / 0.33,2.57% / 3.79
Loop3 (Mar),-0.89% / -7.41,-0.77% / -16.31,2.09% / 2.25,-0.68% / -2.86,2.10% / 3.24
Loop4 (Apr),0.55% / 5.55,0.39% / 2.77,-2.45% / -2.17,2.26% / 9.50,-3.40% / -4.11
Loop5 (May),0.70% / 3.57,-0.30% / -2.02,1.65% / 1.90,1.94% / 9.28,-2.39% / -3.75
Loop6 (Jun),0.37% / 2.76,-1.05% / -10.42,3.74% / 4.37,-0.70% / -3.39,2.97% / 5.32
Loop7 (Jul),0.69% / 5.65,-0.74% / -3.85,-3.74% / -3.91,1.24% / 7.35,-1.04% / -1.47
Loop8 (Aug),0.82% / 6.32,0.86% / 11.09,0.84% / 0.90,1.39% / 7.71,-0.85% / -1.14
Loop9 (Sep),-0.79% / -4.55,-0.53% / -3.02,-1.33% / -1.90,-2.06% / -10.09,2.26% / 5.08
Loop10 (Oct),-0.00% / 0.00,-0.06% / -0.41,-2.96% / -3.70,-0.23% / -0.92,0.96% / 1.71
Loop11 (Nov),0.65% / 5.83,-0.33% / -2.24,2.23% / 2.67,1.54% / 7.53,1.96% / 3.32
Loop12 (Dec),0.67% / 5.19,0.46% / 3.46,-3.56% / -4.19,-0.34% / -1.27,0.71% / 1.26
สรุป (Average),0.20% / 1.87,-0.05% / -1.08,-0.01% / -0.12,0.18% / 1.59,1.07% / 1.61
