Loop,"Multi-CNN-LSTM
Return / Sharpe","Single-CNN-LSTM
Return / Sharpe","Buy & Hold
Return / Sharpe","RSI Based
Return / Sharpe","MACD Based
Return / Sharpe"
Loop1 (Jan),0.03% / 0.69,-0.48% / -4.72,-1.04% / -2.30,0.54% / 5.06,0.93% / 2.90
Loop2 (Feb),0.29% / 4.51,-0.43% / -5.98,1.25% / 2.85,-1.16% / -9.67,1.63% / 5.52
Loop3 (Mar),-1.46% / -14.73,-1.10% / -15.46,1.66% / 3.52,-0.91% / -7.92,0.42% / 1.25
Loop4 (Apr),-0.48% / -3.77,-0.50% / -5.95,3.82% / 6.93,-1.53% / -10.04,-2.63% / -6.55
Loop5 (May),1.02% / 22.07,0.45% / 10.27,-1.69% / -3.10,-0.15% / -0.87,0.38% / 1.00
Loop6 (Jun),-0.37% / -3.42,-0.83% / -15.18,0.43% / 0.84,0.26% / 2.07,-1.97% / -5.42
Loop7 (Jul),0.35% / 4.38,-0.32% / -4.03,1.05% / 2.20,0.08% / 0.50,0.26% / 0.79
Loop8 (Aug),0.37% / 6.75,0.24% / 3.91,-1.28% / -2.48,-1.29% / -8.63,3.54% / 10.62
Loop9 (Sep),-0.46% / -4.68,-0.08% / -2.06,0.19% / 0.40,-0.41% / -3.68,-2.06% / -5.55
Loop10 (Oct),-0.12% / -2.03,0.52% / 6.87,1.55% / 3.52,-0.17% / -1.28,0.76% / 2.51
Loop11 (Nov),-0.77% / -11.60,-0.78% / -11.97,2.33% / 4.02,-1.13% / -7.79,0.66% / 1.73
Loop12 (Dec),-0.40% / -4.98,-0.65% / -4.76,-0.27% / -0.36,-1.88% / -7.06,2.29% / 4.99
สรุป (Average),-0.16% / -0.57,-0.33% / -4.09,0.67% / 1.34,-0.65% / -4.11,0.35% / 1.15
