Strategy,Avg_Return_Pct,Std_Return_Pct,Avg_Sharpe_Ratio,Avg_Win_Rate,Avg_Max_Drawdown,Total_Trades,Loops_Evaluated
Buy & Hold (USDJPY),0.8166870833333298,1.3446681034605052,1.7814256955519692,0.75,0.0,12,12
RSI-based Trading (GBPUSD),0.3977500000000342,1.2347745492599322,2.1130202546618113,0.39096032991193214,0.0,1761,12
MACD-based Trading (GBPUSD),0.36408333333334214,2.0393262555042053,0.906492692730446,0.5342316964574533,0.0,4275,12
MACD-based Trading (USDJPY),0.2434442499999477,1.5885346082429397,0.8853277667511713,0.5223937934378039,0.0,4242,12
Single-CNN-LSTM-Moderate (GBPUSD),0.23291666666667885,1.0422835073636538,1.645446973563839,0.3403250639215362,0.0,1740,12
Single-CNN-LSTM-Conservative (GBPUSD),0.03616666666666179,1.0385719228290686,-1.2607326864744228,0.14876331309721183,0.0,992,12
MACD-based Trading (EURUSD),0.023583333333278195,1.4775250397389508,0.015520817646234308,0.5257999168951386,0.0,4265,12
Single-CNN-LSTM-Moderate (EURUSD),0.01224999999999001,0.6655991192151709,-0.2257513900389202,0.3182287494291189,0.0,1639,12
Multi-CNN-LSTM-Moderate (GBPUSD),0.008750000000007613,1.0234826268676855,1.0546691264830508,0.28476083498462684,0.0,1443,12
Multi-CNN-LSTM-Aggressive (EURUSD),-0.05895833333331208,0.505987872809781,-0.8336945208342383,0.41899372128984047,0.0,2597,12
Single-CNN-LSTM-Aggressive (EURUSD),-0.06220833333333307,0.6983196336663258,-1.0367677314518446,0.42728838385796153,0.0,2793,12
Multi-CNN-LSTM-Moderate (EURUSD),-0.08708333333336819,0.6832334225740252,-0.884688343402018,0.2970948747341825,0.0,1466,12
Buy & Hold (GBPUSD),-0.09125000000000305,2.4827660020294577,-0.0874217767274517,0.5833333333333334,0.0,12,12
Multi-CNN-LSTM-Conservative (EURUSD),-0.09966666666667606,0.4097721589154306,-2.0009356773177154,0.1248067188972961,0.0,930,12
Single-CNN-LSTM-Aggressive (GBPUSD),-0.144666666666667,1.3064938182870358,-0.2675278711498746,0.44602341140858437,0.0,2893,12
Multi-CNN-LSTM-Moderate (USDJPY),-0.149454083333297,0.4542809698520669,-2.3178319735130235,0.31033139554620354,0.0,1713,12
Multi-CNN-LSTM-Aggressive (USDJPY),-0.1743052499999961,0.33468919552535276,-2.3437427860128155,0.42567501988465567,0.0,2811,12
Multi-CNN-LSTM-Aggressive (GBPUSD),-0.1915416666666655,0.6387286349438142,-1.0306278706377643,0.4054300746649529,0.0,2519,12
Single-CNN-LSTM-Aggressive (USDJPY),-0.20103066666668382,0.38223629287173566,-2.387155723828401,0.4069142974680166,0.0,2726,12
Single-CNN-LSTM-Conservative (EURUSD),-0.22866666666667548,0.31347762635029786,-4.331012203692477,0.11443169347518505,0.0,900,12
Single-CNN-LSTM-Moderate (USDJPY),-0.2454573333333171,0.4793440739886596,-2.425793442430573,0.2926527604693539,0.0,1641,12
RSI-based Trading (EURUSD),-0.30541666666666817,0.7967846277731524,-1.702114207545281,0.37929877177908883,0.0,1742,12
Multi-CNN-LSTM-Conservative (GBPUSD),-0.3495000000000134,0.8319639916086058,-3.63808907153741,0.09350004131829694,0.0,882,12
Multi-CNN-LSTM-Conservative (USDJPY),-0.41955433333333225,0.39256361714235793,-7.434442160160978,0.11551591877382257,0.0,937,12
Single-CNN-LSTM-Conservative (USDJPY),-0.5922629999999967,0.4207133826961858,-8.78359307917462,0.09239702438862162,0.0,935,12
RSI-based Trading (USDJPY),-0.6224592500000016,0.6346209215265188,-4.428681154612847,0.37400438683331144,0.0,1790,12
Buy & Hold (EURUSD),-0.6697500000000036,2.043606539307408,-0.9917162527206962,0.25,0.0,12,12
