Loop,Strategy,Threshold,Leverage,Return_Pct,Sharpe_Ratio,Risk_Adjusted_Return
1,Multi-CNN-LSTM-Conservative (EURUSD),Conservative,2.0,0.31200000000006184,8.236697619949645,0.15600000000003092
1,Multi-CNN-LSTM-Moderate (EURUSD),Moderate,1.0,0.38999999999999996,8.876511615156154,0.38999999999999996
1,Multi-CNN-LSTM-Aggressive (EURUSD),Aggressive,0.5,0.30750000000005456,4.57293585471171,0.6150000000001091
1,Multi-CNN-LSTM-Conservative (GBPUSD),Conservative,2.0,-0.63,-13.766123292140648,-0.315
1,Multi-CNN-LSTM-Moderate (GBPUSD),Moderate,1.0,-0.33000000000001817,-14.310729393652952,-0.33000000000001817
1,Multi-CNN-LSTM-Aggressive (GBPUSD),Aggressive,0.5,-0.45999999999998176,-11.046194013712952,-0.9199999999999635
1,Multi-CNN-LSTM-Conservative (USDJPY),Conservative,2.0,-0.7913500000000203,-18.779239268180117,-0.39567500000001016
1,Multi-CNN-LSTM-Moderate (USDJPY),Moderate,1.0,-0.4398240000000442,-18.823449714358926,-0.4398240000000442
1,Multi-CNN-LSTM-Aggressive (USDJPY),Aggressive,0.5,0.31612350000001244,8.354492078907096,0.6322470000000249
1,Single-CNN-LSTM-Conservative (EURUSD),Conservative,2.0,-0.23199999999991636,-6.549307740670134,-0.11599999999995818
1,Single-CNN-LSTM-Moderate (EURUSD),Moderate,1.0,-0.15899999999999637,-7.604629745840534,-0.15899999999999637
1,Single-CNN-LSTM-Aggressive (EURUSD),Aggressive,0.5,-0.08499999999998181,-5.827069280085019,-0.16999999999996362
1,Single-CNN-LSTM-Conservative (GBPUSD),Conservative,2.0,-0.9220000000000074,-15.670474367746495,-0.4610000000000037
1,Single-CNN-LSTM-Moderate (GBPUSD),Moderate,1.0,-0.5690000000000328,-17.90545963468884,-0.5690000000000328
1,Single-CNN-LSTM-Aggressive (GBPUSD),Aggressive,0.5,-0.2974999999999818,-14.277176792207008,-0.5949999999999636
1,Single-CNN-LSTM-Conservative (USDJPY),Conservative,2.0,-0.7913500000000203,-19.95433095662877,-0.39567500000001016
1,Single-CNN-LSTM-Moderate (USDJPY),Moderate,1.0,-0.26156200000006724,-10.2897413781323,-0.26156200000006724
1,Single-CNN-LSTM-Aggressive (USDJPY),Aggressive,0.5,-0.046648000000004686,-2.8587011714483674,-0.09329600000000937
2,Multi-CNN-LSTM-Conservative (EURUSD),Conservative,2.0,1.4219999999999708,5.336284536764577,0.7109999999999854
2,Multi-CNN-LSTM-Moderate (EURUSD),Moderate,1.0,0.7110000000000036,5.263847080893093,0.7110000000000036
2,Multi-CNN-LSTM-Aggressive (EURUSD),Aggressive,0.5,0.3554999999999927,5.246901242189093,0.7109999999999854
2,Multi-CNN-LSTM-Conservative (GBPUSD),Conservative,2.0,0.06400000000001456,0.4519890842617169,0.03200000000000728
2,Multi-CNN-LSTM-Moderate (GBPUSD),Moderate,1.0,0.06800000000001091,0.8333443687852979,0.06800000000001091
2,Multi-CNN-LSTM-Aggressive (GBPUSD),Aggressive,0.5,-0.14799999999999272,-3.0696932776459382,-0.29599999999998544
2,Multi-CNN-LSTM-Conservative (USDJPY),Conservative,2.0,-0.5047979999999734,-16.6970810417376,-0.2523989999999867
2,Multi-CNN-LSTM-Moderate (USDJPY),Moderate,1.0,-0.2865519999999742,-15.637067732384978,-0.2865519999999742
2,Multi-CNN-LSTM-Aggressive (USDJPY),Aggressive,0.5,-0.11537049999999,-9.365223830408711,-0.23074099999998
2,Single-CNN-LSTM-Conservative (EURUSD),Conservative,2.0,1.4439999999999782,5.336882494367558,0.7219999999999891
2,Single-CNN-LSTM-Moderate (EURUSD),Moderate,1.0,0.7650000000000182,5.4600655002061815,0.7650000000000182
2,Single-CNN-LSTM-Aggressive (EURUSD),Aggressive,0.5,0.3889999999999964,4.9826072228825,0.7779999999999928
2,Single-CNN-LSTM-Conservative (GBPUSD),Conservative,2.0,0.06400000000001456,0.4519890842617169,0.03200000000000728
2,Single-CNN-LSTM-Moderate (GBPUSD),Moderate,1.0,0.06800000000001091,0.8333443687852979,0.06800000000001091
2,Single-CNN-LSTM-Aggressive (GBPUSD),Aggressive,0.5,0.23349999999998544,4.525875192987013,0.4669999999999709
2,Single-CNN-LSTM-Conservative (USDJPY),Conservative,2.0,-0.5047979999999552,-14.120478888042248,-0.2523989999999776
2,Single-CNN-LSTM-Moderate (USDJPY),Moderate,1.0,-0.3007129999999779,-11.349410589971644,-0.3007129999999779
2,Single-CNN-LSTM-Aggressive (USDJPY),Aggressive,0.5,-0.2923829999999725,-15.491524075879134,-0.584765999999945
3,Multi-CNN-LSTM-Conservative (EURUSD),Conservative,2.0,0.8799999999999636,7.8680266693015195,0.4399999999999818
3,Multi-CNN-LSTM-Moderate (EURUSD),Moderate,1.0,0.5289999999999782,9.256075292823565,0.5289999999999782
3,Multi-CNN-LSTM-Aggressive (EURUSD),Aggressive,0.5,0.20099999999998544,6.377724593124675,0.4019999999999709
3,Multi-CNN-LSTM-Conservative (GBPUSD),Conservative,2.0,0.4580000000000291,10.107301859898538,0.22900000000001455
3,Multi-CNN-LSTM-Moderate (GBPUSD),Moderate,1.0,-0.07599999999998544,-2.794814085015141,-0.07599999999998544
3,Multi-CNN-LSTM-Aggressive (GBPUSD),Aggressive,0.5,-0.1989999999999782,-8.70025698790988,-0.3979999999999564
3,Multi-CNN-LSTM-Conservative (USDJPY),Conservative,2.0,-1.4827399999999762,-18.830098475740396,-0.7413699999999881
3,Multi-CNN-LSTM-Moderate (USDJPY),Moderate,1.0,-0.895475000000024,-21.154687411672754,-0.895475000000024
3,Multi-CNN-LSTM-Aggressive (USDJPY),Aggressive,0.5,-1.167449499999966,-16.563742669065615,-2.334898999999932
3,Single-CNN-LSTM-Conservative (EURUSD),Conservative,2.0,0.8799999999999636,7.8680266693015195,0.4399999999999818
3,Single-CNN-LSTM-Moderate (EURUSD),Moderate,1.0,0.6159999999999854,6.45147409786305,0.6159999999999854
3,Single-CNN-LSTM-Aggressive (EURUSD),Aggressive,0.5,0.5459999999999855,8.471295879614122,1.091999999999971
3,Single-CNN-LSTM-Conservative (GBPUSD),Conservative,2.0,0.19,4.292982819302028,0.095
