Month,Multi-CNN-LSTM-Conservative (USDJPY),Multi-CNN-LSTM-Moderate (USDJPY),Multi-CNN-LSTM-Aggressive (USDJPY),Single-CNN-LSTM-Conservative (USDJPY),Single-CNN-LSTM-Moderate (USDJPY),Single-CNN-LSTM-Aggressive (USDJPY),Buy & Hold (USDJPY),RSI-based Trading (USDJPY),MACD-based Trading (USDJPY)
Jan 2022,-18.779239268180117,-18.823449714358926,8.354492078907096,-19.95433095662877,-10.2897413781323,-2.8587011714483674,0.5892159189903504,-11.679529436286328,-0.3677215543261181
Feb 2022,-16.6970810417376,-15.637067732384978,-9.365223830408711,-14.120478888042248,-11.349410589971644,-15.491524075879134,0.6912143524899933,7.889134447248003,1.642089145530383
Mar 2022,-18.830098475740396,-21.154687411672754,-16.563742669065615,-21.044287026314795,-18.360076624917557,-3.4929627897926645,6.614915070259486,-12.45121202904392,4.531039150794917
Apr 2022,-12.688079244790702,-12.59891786811826,-5.328771974847918,-17.687872790019295,-18.47467854962576,-8.797731574934113,6.795670870753192,-17.069170799077575,10.390670842092247
May 2022,0.0,-20.414763376020623,-22.018545661008964,-20.94810552011897,-18.874530300187452,-16.96932055323442,-1.2202011534706552,4.8369741209449595,-0.7919361993501419
Jun 2022,-12.870331516292515,-10.272584210973198,4.0146575389213375,-12.870331516292515,-12.879172113485197,2.0468179022173096,5.681245554105782,-6.805773878140807,6.840892853078349
Jul 2022,-11.958888908484763,-16.159722763774656,-10.369904630345351,-9.410440581560799,-12.110441921576113,-10.555180901248917,-2.0244990715254048,-0.8614778273946587,0.6889458023041057
Aug 2022,-10.99014737087317,-12.152877750971378,-12.066320236367313,-11.955122185347582,-13.185170291908648,-3.2868360896144844,3.5530995473469846,2.3673403624146374,0.3663314920809034
Sep 2022,-9.72414033915535,-11.449856375008032,-6.613041330603877,-9.72414033915535,-9.730273760335079,2.458169228833991,2.5403448200948104,4.477506020592623,-1.071140389171416
Oct 2022,-13.571575930519499,-13.549775702564126,-10.114546486901503,-10.439515456080548,-12.406003572230988,-7.333148580767815,1.843507261611612,0.17945091417985468,-2.9921860973901566
Nov 2022,-12.178061219504505,-13.642352953182948,-8.316573122540163,-13.440653470454826,-13.439009771203997,-13.616324226817268,-5.030142178936457,-2.254852486214065,2.0650350924146608
Dec 2022,-1.8776050188642979,-3.0783946915043563,-8.242406668513764,-1.9032330537474977,-8.398001805854415,4.061436543821491,-2.540644604481251,-0.12947191810197956,1.7409936546426708
AVERAGE,-11.680437361178576,-14.077870879211185,-8.052493916064561,-13.624875981980267,-13.291375889952429,-6.1529421907387,1.4578105322698702,-2.6250902090732713,1.9202511493917003
