Loop,"Multi-CNN-LSTM (with Leverage)
Return / Sharpe (Leverage)","Single-CNN-LSTM (with Leverage)
Return / Sharpe (Leverage)","Buy & Hold (1.0x)
Return / Sharpe","RSI Based (1.0x)
Return / Sharpe","MACD Based (1.0x)
Return / Sharpe"
Loop1 (Jan),-0.51% / -1.47 (L:1.0x),-0.25% / -0.82 (L:1.0x),3.63% / 4.62,0.57% / 2.70,-1.30% / -2.31
Loop2 (Feb),0.19% / 0.70 (L:1.0x),-0.63% / -2.59 (L:1.0x),-0.84% / -1.14,0.68% / 3.96,-1.90% / -3.48
Loop3 (Mar),0.19% / 1.08 (L:1.0x),-0.65% / -1.60 (L:1.0x),-0.59% / -0.89,-1.36% / -7.59,0.70% / 1.63
Loop4 (Apr),1.28% / 3.99 (L:1.0x),0.68% / 3.26 (L:1.0x),-3.69% / -4.93,0.21% / 1.19,1.73% / 3.49
Loop5 (May),-0.45% / -1.59 (L:1.0x),0.75% / 2.66 (L:1.0x),3.92% / 6.67,0.38% / 3.11,-0.82% / -1.83
Loop6 (Jun),-0.46% / -1.70 (L:1.0x),-0.40% / -1.27 (L:1.0x),1.75% / 2.62,-0.45% / -2.83,2.55% / 5.66
Loop7 (Jul),-2.34% / -7.58 (L:1.0x),-0.21% / -0.87 (L:1.0x),-3.29% / -4.78,-0.62% / -3.84,0.10% / 0.25
Loop8 (Aug),-0.43% / -1.34 (L:1.0x),0.95% / 3.84 (L:1.0x),0.18% / 0.33,0.30% / 2.66,-1.53% / -3.44
Loop9 (Sep),0.54% / 2.33 (L:1.0x),-1.03% / -4.54 (L:1.0x),-0.65% / -1.23,-0.87% / -7.27,-1.78% / -4.96
Loop10 (Oct),1.59% / 8.37 (L:1.0x),0.48% / 2.20 (L:1.0x),-1.99% / -4.17,-0.06% / -0.56,-1.25% / -3.40
Loop11 (Nov),0.96% / 4.49 (L:1.0x),0.51% / 2.12 (L:1.0x),-0.12% / -0.19,-1.12% / -7.00,1.35% / 3.52
Loop12 (Dec),-2.11% / -6.24 (L:1.0x),-1.52% / -5.23 (L:1.0x),-2.66% / -4.15,-1.65% / -9.20,1.67% / 3.76
สรุป (Average),-0.13% / 0.09 (L:1.0x),-0.11% / -0.24 (L:1.0x),-0.36% / -0.60,-0.33% / -2.06,-0.04% / -0.09
