Loop,"Multi-CNN-LSTM (with Leverage)
Return / Sharpe (Leverage)","Single-CNN-LSTM (with Leverage)
Return / Sharpe (Leverage)","Buy & Hold (1.0x)
Return / Sharpe","RSI Based (1.0x)
Return / Sharpe","MACD Based (1.0x)
Return / Sharpe"
Loop1 (Jan),-0.67% / -3.62 (L:1.0x),-0.41% / -2.50 (L:1.0x),-1.04% / -2.30,0.54% / 5.06,0.93% / 2.90
Loop2 (Feb),0.47% / 2.96 (L:1.0x),0.40% / 1.99 (L:1.0x),1.25% / 2.85,-1.16% / -9.67,1.63% / 5.52
Loop3 (Mar),-0.60% / -3.29 (L:1.0x),-1.71% / -8.88 (L:1.0x),1.66% / 3.52,-0.91% / -7.92,0.42% / 1.25
Loop4 (Apr),0.81% / 2.89 (L:1.0x),1.39% / 6.57 (L:1.0x),3.82% / 6.93,-1.53% / -10.04,-2.63% / -6.55
Loop5 (May),-0.46% / -2.81 (L:1.0x),2.21% / 9.38 (L:1.0x),-1.69% / -3.10,-0.15% / -0.87,0.38% / 1.00
Loop6 (Jun),1.29% / 6.69 (L:1.0x),0.95% / 6.14 (L:1.0x),0.43% / 0.84,0.26% / 2.07,-1.97% / -5.42
Loop7 (Jul),-2.13% / -9.76 (L:1.0x),-0.29% / -1.47 (L:1.0x),1.05% / 2.20,0.08% / 0.50,0.26% / 0.79
Loop8 (Aug),0.55% / 2.77 (L:1.0x),1.07% / 6.00 (L:1.0x),-1.28% / -2.48,-1.29% / -8.63,3.54% / 10.62
Loop9 (Sep),0.99% / 3.97 (L:1.0x),-0.18% / -0.96 (L:1.0x),0.19% / 0.40,-0.41% / -3.68,-2.06% / -5.55
Loop10 (Oct),0.10% / 0.57 (L:1.0x),-0.16% / -0.76 (L:1.0x),1.55% / 3.52,-0.17% / -1.28,0.76% / 2.51
Loop11 (Nov),-0.94% / -3.80 (L:1.0x),-1.24% / -4.87 (L:1.0x),2.33% / 4.02,-1.13% / -7.79,0.66% / 1.73
Loop12 (Dec),-0.44% / -1.50 (L:1.0x),-0.81% / -2.41 (L:1.0x),-0.27% / -0.36,-1.88% / -7.06,2.29% / 4.99
สรุป (Average),-0.08% / -0.41 (L:1.0x),0.10% / 0.69 (L:1.0x),0.67% / 1.34,-0.65% / -4.11,0.35% / 1.15
